,numPhotos,price,propertyType,size,exterior,rooms,bathrooms,province,municipality,showAddress,distance,hasVideo,status,newDevelopment,hasPlan,has3DTour,has360,floor,hasLift,hasParkingSpace,isParkingSpaceIncludedInPrice
294,24,550.0,flat,76.0,True,2,1,Toledo,Yuncos,False,38544,False,good,False,False,False,False,2,True,True,True
295,23,750.0,flat,109.0,True,2,2,Madrid,Valdemoro,False,24455,False,good,False,False,False,False,3,True,True,True
296,16,749.0,flat,38.0,True,1,1,Madrid,Madrid,True,6506,False,good,False,False,False,True,2,True,True,True
297,7,700.0,studio,30.0,False,0,1,Madrid,Madrid,False,2411,False,good,False,False,False,False,bj,True,unknown,unknown
298,15,667.0,flat,70.0,True,1,1,Madrid,Parla,True,21185,False,good,False,False,False,False,8,True,True,True
299,22,725.0,flat,45.0,False,1,1,Madrid,Madrid,False,10398,False,good,False,False,False,False,1,True,True,True
300,21,550.0,penthouse,70.0,True,3,1,Madrid,Robledo de Chavela,False,47595,False,good,False,False,False,False,3,False,True,True
301,29,695.0,flat,55.0,True,3,1,Madrid,Parla,False,19765,True,good,False,True,False,True,4,False,unknown,unknown
302,26,675.0,flat,84.0,True,2,2,Toledo,Seseña,False,31489,False,good,False,False,False,False,2,True,True,True
303,35,750.0,flat,105.0,True,3,1,Madrid,Campo Real,False,28810,False,good,False,False,False,False,1,False,unknown,unknown
304,24,699.0,flat,52.0,True,1,1,Madrid,Madrid,True,7092,False,good,False,False,False,False,3,True,True,True
305,18,750.0,studio,32.0,True,0,1,Madrid,Madrid,False,5006,True,good,False,False,False,False,14,True,unknown,unknown
306,14,730.0,flat,80.0,True,3,1,Madrid,Collado Villalba,False,35774,False,good,False,False,False,False,4,False,unknown,unknown
307,25,340.0,flat,50.0,True,1,1,Toledo,Fuensalida,False,58969,False,good,False,True,False,False,1,False,True,True
308,27,710.0,flat,30.0,True,1,1,Madrid,Madrid,False,1156,True,good,False,True,False,True,bj,False,unknown,unknown
309,20,650.0,flat,58.0,True,1,1,Madrid,Madrid,True,5924,False,good,False,False,False,False,4,True,unknown,unknown
310,19,600.0,countryHouse,60.0,False,2,2,Madrid,Villaviciosa de Odón,True,23776,True,renew,False,False,False,False,unknown,unknown,unknown,unknown
311,28,740.0,flat,41.0,True,2,1,Madrid,Madrid,False,8358,True,good,False,True,False,True,3,False,unknown,unknown
312,25,525.0,flat,40.0,True,1,1,Madrid,Aranjuez,False,43059,True,good,False,True,False,True,3,True,unknown,unknown
313,11,750.0,studio,35.0,True,0,1,Madrid,Madrid,False,1272,False,good,False,False,False,False,4,False,unknown,unknown
314,28,750.0,flat,74.0,True,3,1,Madrid,Alcalá de Henares,False,29245,True,good,False,True,False,True,2,True,unknown,unknown
315,22,685.0,flat,84.0,True,2,2,Toledo,Seseña,False,32215,False,good,False,False,False,False,6,True,True,True
316,25,710.0,flat,69.0,True,3,1,Madrid,Alcalá de Henares,False,28440,True,good,False,True,False,True,5,True,unknown,unknown
317,27,560.0,studio,46.0,True,0,1,Madrid,Madrid,False,3786,True,good,False,True,False,True,bj,False,unknown,unknown
318,36,500.0,duplex,70.0,True,3,2,Toledo,Casarrubios del Monte,False,38592,False,good,False,False,False,False,2,True,True,True
319,25,600.0,flat,42.0,True,1,1,Madrid,Torrejón de Ardoz,False,18905,False,good,False,False,False,False,bj,False,unknown,unknown
320,40,600.0,penthouse,69.0,True,3,1,Segovia,El Espinar,True,56418,False,good,False,True,True,False,4,True,True,True
